Link,Location,Title,Date,Time,Description,Price,Location
http://generalassemb.ly/education/user-experience-journey-mapping/austin/39059,Austin,User Experience: Journey Mapping,"Thursday, 10 August",7,"You are not your user. It’s one of the most critical understandings of a User Experience designer. And knowing that to be true, it becomes even more critical for designers to build empathy for and relate to the users they are designing for.",35,Atlanta
http://generalassemb.ly/education/coding-101-html-css/chicago/39192,Chicago,Coding 101: HTML & CSS,"Thursday, 31 August",6,"Meet the programming languages that power the web, and write your first line of code.",40,Atlanta
http://generalassemb.ly/education/basics-of-scrum/london/38959,London,Basics of Scrum,"Thursday, 14 September",6:15,"Gain an understanding of the principles behind this popular project management framework. In this class you’ll get a brief history and explanation of the core values and principles of the Agile Manifesto and how Scrum relates to it. We’ll cover the roles and ceremonies of Scrum, as well as explain the most common approach that Scrum teams use for estimating and planning projects.",35,Atlanta
http://generalassemb.ly/education/ux-design-101/new-york-city/38501,New York City,UX Design 101,"Thursday, 27 July",6:30,Discover how design shapes our online experiences.,60,Atlanta
http://generalassemb.ly/education/free-lunchtime-class-taxation-early-to-advanced-start-ups/sydney/37505,Sydney,Free Lunchtime Class: Taxation - Early to Advanced Start Ups,"Thursday, 13 July",12:30,"Like many areas, tax has its own language, words and concepts. These can be confusing for startups new to the business world, or the changing needs of businesses that are growing rapidly.",0,Atlanta
http://generalassemb.ly/education/excel-bootcamp/sydney/37907,Sydney,Excel Bootcamp,"Saturday, 8 July",10,"For most professionals, the ability to organize information is quickly becoming a fundamental part of the job description. Whether you already consider yourself an expert or are just getting started with spreadsheets, this hands-on workshop will allow you to take your skills to next level and become an Excel pro.",180,Atlanta
http://generalassemb.ly/education/code-in-one-day-html-css-crash-course/washington-dc/38702,"Washington, D.C.",Code in One Day: HTML & CSS Crash Course,"Saturday, 12 August",10,"HTML and CSS are the fundamental building blocks of the web. Whether you're a beginner who wants to get started in web development, a designer looking to hand-code your concepts, or a marketer who wants a little more control over your CMS, you'll need to know HTML and CSS to get the job done.
This one-day workshop is the quickest way to get started building websites and modifying code. We'll go over key coding terminology and principles, introduce HTML and CSS—what their functions are, how they work together—and use that new knowledge to write our own code and develop our own simple site.",200,Atlanta
http://generalassemb.ly/education/product-management-bootcamp/austin/39229,Austin,Product Management Bootcamp,"Saturday, 22 July",10,"You’re full of ideas, but how do you know which are worth working on?  In the first half of the workshop, you’ll learn how to use the MVP (Minimum Viable Product) philosophy to test and validate your ideas with the least amount of work required.  The ultimate goal is to get to product/market fit.  Take your idea and get moving in the right direction quickly and efficiently.",175,Atlanta
http://generalassemb.ly/education/introduction-to-adobe-illustrator--2/boston/36795,Boston,Introduction to Adobe Illustrator,"Monday, 10 July",6:30,"Bring your creative ideas to life with Adobe Illustrator, the industry-standard vector graphics software, used by designers and illustrators who want to create digital graphics, logos, illustrations, and original typography. This workshop is designed to get you up and running with Adobe Illustrator in just three hours. The focus will be on step-by-step instruction leading students through the most important tools and concepts in Illustrator.",75,Atlanta
http://generalassemb.ly/education/speaking-to-engage-become-a-better-and-funnier-public-speaker/san-francisco/38716,San Francisco,Speaking to Engage: Become a Better and Funnier Public Speaker,"Wednesday, 19 July",6,"Learn Comedy Habits to be a better public speaker, consistently funnier and help rid the world of boring presentations!",65,Atlanta
http://generalassemb.ly/education/sql-bootcamp-learning-the-language/san-francisco/39262,San Francisco,SQL Bootcamp: Learning the Language,"Tuesday, 26 September",10,"SQL is a powerful language, and tool, for data analysis and data handling. In this bootcamp, you’ll dive deep into SQL syntax and database structures, while applying your new SQL skills to address business problems. This bootcamp will take absolute beginners through the basics of SQL to an ability to write queries with confidence.",299,Atlanta
http://generalassemb.ly/education/hacking-communication/los-angeles/39280,Los Angeles,Hacking Communication,"Monday, 24 July",6:30,"No matter what line of business you’re in, being able to clearly communicate your ideas is a critical part of becoming a success. Whether you’re presenting a project or just taking a meeting, knowing how to think on your feet and effectively express yourself is key to connecting and collaborating with your peers.",65,Atlanta
http://generalassemb.ly/education/crafting-stories-with-data/washington-dc/37405,"Washington, D.C.",Crafting Stories with Data,"Wednesday, 26 July",6:30,"Data visualizations can enable us to compress data and encode them in ways to aid perceptual, cognitive and emotional capacity required to comprehend, retain and make decisions using this data. It is often cited that we are trying to tell stories through them. Is that really the case? How do we ensure that the audience is able to retain, recall and retell our data-driven stories?",65,Atlanta
http://generalassemb.ly/education/digital-marketing-bootcamp--2/san-francisco/37843,San Francisco,Digital Marketing Bootcamp,"Saturday, 15 July",10,"This deep-dive will take a holistic look at digital marketing-- covering many of the essential (and cutting edge) digital advertising platforms, tools and analytics systems that entrepreneurs & digital marketers alike use to help launch & optimize their online businesses. Not only will this bootcamp survey these topics, but students will also be trained on 2 best-in-class digital marketing tools (Facebook & Mailchimp).",250,Atlanta
http://generalassemb.ly/education/python-programming-101/denver/38564,Denver,Python Programming 101,"Tuesday, 25 July",6,Unlock data-driven insights with code.,45,Atlanta
http://generalassemb.ly/education/unlock-your-creative-confidence/melbourne/38524,Melbourne,Unlock Your Creative Confidence,"Saturday, 29 July",10,"Get your creative juices flowing with hands-on, minds-on activities. In this workshop you'll explore the art of improvisation, play with LEGO and build your very own puppet from trash with Trash Puppets.",180,Atlanta
http://generalassemb.ly/education/programmatic-advertising-101/sydney/39593,Sydney,Programmatic Advertising 101,"Tuesday, 15 August",6,"In this class, students will learn the basic concepts of programmatic and its role in the digital media landscape.",35,Atlanta
http://generalassemb.ly/education/visual-design-101/atlanta/39362,Atlanta,Visual Design 101,"Monday, 24 July",7,Get creative with Adobe Photoshop.,30,Atlanta
http://generalassemb.ly/education/how-to-land-a-job-in-product-management-8747b12e-b7b5-490d-97a2-0f31c9b6a228/austin/38542,Austin,How to Land a Job in Product Management,"Saturday, 26 August",9,Breaking into product management can be difficult.,175,Atlanta
http://generalassemb.ly/education/picture-this-instagram-for-business/london/38168,London,Picture This: Instagram for Business,"Thursday, 21 September",6:15,"As one of the fastest-growing social networks of our decade, Instagram has risen to the top of the content food chain, and is constantly adding new features and tricks for you or your business to take advantage of.",25,Atlanta
http://generalassemb.ly/education/project-management-masterclass/sydney/39606,Sydney,Project Management Masterclass,null,null,"Digital Producers and project managers work in one of the most fast-paced and ever-changing industries and with every project we are being introduced to a new piece of technology, development tool, CMS or complex creative idea that need to be executed in almost no time and within limited budgets.",100,Atlanta
http://generalassemb.ly/education/introduction-to-adobe-illustrator--2/austin/39374,Austin,Introduction to Adobe Illustrator,"Wednesday, 9 August",6:30,"Bring your creative ideas to life with Adobe Illustrator, the industry-standard vector graphics software, used by designers and illustrators who want to create digital graphics, logos, illustrations, and original typography. This workshop is designed to get you up and running with Adobe Illustrator in just three hours. The focus will be on step-by-step instruction leading students through the most important tools and concepts in Illustrator.",75,Atlanta
http://generalassemb.ly/education/mastering-talks-and-presentations/london/37912,London,Mastering Talks and Presentations,"Monday, 7 August",6:15,"In this overview, we will explore how you are communicating and how that is enhancing or taking away from your effectiveness. We will do this by engaging in fun interactive exercises that will help you put together presentations and talks that are focused and get your point across effectively.",35,Atlanta
http://generalassemb.ly/education/sql-bootcamp-learning-the-language/san-francisco/39263,San Francisco,SQL Bootcamp: Learning the Language,"Saturday, 30 September",10,"SQL is a powerful language, and tool, for data analysis and data handling. In this bootcamp, you’ll dive deep into SQL syntax and database structures, while applying your new SQL skills to address business problems. This bootcamp will take absolute beginners through the basics of SQL to an ability to write queries with confidence.",299,Atlanta
http://generalassemb.ly/education/a-beginners-guide-to-email-marketing/los-angeles/39458,Los Angeles,A Beginner's Guide to Email Marketing,"Thursday, 28 September",7,"With the latest research showing that 75% of consumers want to hear your marketing words via email—if you’re not already using this cost effective way of connecting with customers, your business is missing out. This session, aimed at small businesses on tight budgets, will show you how to get started with the basics of email marketing.",35,Atlanta
http://generalassemb.ly/education/introduction-to-python-bootcamp/new-york-city/38496,New York City,Introduction to Python Bootcamp,"Saturday, 19 August",10,"Python is a versatile and widely-used programming language with many applications. This workshop explores Python's place in the scientific ecosystem, and how the language, with several readily-available open-source libraries, can serve as a powerful tool for data analysis. Designed as a stand-alone introduction to the data science aspects of Python, this class is also a recommended refresher for students planning to enroll in General Assembly's upcoming Data Science course. The course is hands-on and exercise based, so students will get plenty of practice.",299,Atlanta
http://generalassemb.ly/education/getting-started-with-wordpress/washington-dc/37699,"Washington, D.C.",Getting Started With WordPress,"Saturday, 8 July",10,"WordPress is the premier content management system for those seeking an easy, user-friendly way to set up and maintain a website.",145,Atlanta
http://generalassemb.ly/education/visual-design-101/washington-dc/37538,"Washington, D.C.",Visual Design 101,"Monday, 24 July",6:30,Get creative with Adobe Photoshop.,55,Atlanta
http://generalassemb.ly/education/user-experience-design-bootcamp/san-francisco/39138,San Francisco,User Experience Design Bootcamp,"Saturday, 22 July",10,"As technology changes and more media outlets compete for customers’ time, providing an enjoyable experience is critical to both attracting and keeping users.  This class aims to demystify UX by giving a practical and simple introduction to what UX is while also explaining some of its core concepts of usability.  This is a field that affects all areas of business — prepare to dip your toes into an ocean of new concepts and ideas that will enlighten your perspective on the  human-computer interaction experience.",250,Atlanta
http://generalassemb.ly/education/digital-marketing-bootcamp--2/austin/37851,Austin,Digital Marketing Bootcamp,"Saturday, 15 July",10,"The digital landscape is moving at lightning speed. Every industry has been affected by the advances in digital—from retail to brands and agencies. Has your manager recently assigned a digital marketing role to you? Are you a project or account manager at a creative agency? Do you work for a small company or a start-up, and handle all things digital on your own? Then this bootcamp may be just what you need! Specifically created for students and professionals interested in gaining a deeper understanding of everything digital marketing can encompass.",175,Atlanta
http://generalassemb.ly/education/lean-thinking-back-to-the-basics/melbourne/39024,Melbourne,Lean Thinking: Back to the Basics,"Monday, 7 August",6:30,"Businesses are facing a number of challenges today, everyone is under pressure to do business differently and achieve more with less. Technology advances are rapid and impacting the way we operate.",35,Atlanta
http://generalassemb.ly/education/design-thinking-workshop/melbourne/38724,Melbourne,Design Thinking Workshop,"Wednesday, 26 July",6,"Design Thinking is the quintessential combination of both creative and critical thinking. It focuses on contextual, insight driven solutions instead of just the problem on hand. The approach utilises the principles of divergent thinking, which is about discovering and brainstorming ideas with minimal restrictions and waste.",70,Atlanta
http://generalassemb.ly/education/how-to-master-instagram/chicago/37613,Chicago,How to Master Instagram,"Wednesday, 26 July",6,"The class provides business owners and social media managers and overview of the basics and strategies of one of the fastest growing networks, Instagram. It'll also take an in-depth look at growing your account, network’s best practices, content ideas and strategies of Instagram Ads.",40,Atlanta
http://generalassemb.ly/education/design-thinking-bootcamp/boston/36411,Boston,Design Thinking Bootcamp,"Saturday, 23 September",12,"In increasingly complex times, innovation and collaboration skills are becoming vital to businesses, and both principles are essential in Design Thinking. This hands-on workshop will lead you through the design thinking process, taught by design thinking professionals that live and breathe in this space. Together we'll explore how human-centered design can help develop innovative solutions for the complex challenges we face as businesspeople, non-profit leaders, entrepreneurs, and global citizens.",125,Atlanta
http://generalassemb.ly/education/the-what-why-of-apis/singapore/38150,Singapore,The What & Why of APIs,"Monday, 4 September",7,"From Twitter to Facebook to Tumblr to smartphones to ATMs, Application Programming Interfaces (APIs) power our digital lives. In this session, we will discuss the basics of APIs: what they are, how they work, and why they matter. We will look at the APIs that power several popular services such as Twitter, Facebook, Mailchimp and Mixpanel, and discuss the ways that businesses of all sizes have used these APIs to their advantage. Even if you’ve never heard the term “API” before, you will walk away with a better understanding of the secret language spoken by the devices and applications that we interact with every day.",60,Atlanta
http://generalassemb.ly/education/digital-marketing-bootcamp--2/atlanta/39366,Atlanta,Digital Marketing Bootcamp,"Saturday, 19 August",10,"In this interactive bootcamp, you'll learn the fundamentals of a strong digital marketing strategy, and how to implement them effectively in order to drive more traffic, leads, and customers for your business. Through hands-on activities, you'll have the opportunity to master the concepts and make real progress toward improving your marketing skills as you progress through the bootcamp. Mastering digital marketing will help you grow your business, your skill set, and your career. The techniques you'll learn in this bootcamp can be applied immediately.",150,Atlanta
http://generalassemb.ly/education/intro-to-pricing-strategy/los-angeles/39435,Los Angeles,Intro to Pricing Strategy,"Wednesday, 23 August",7,"Pricing is much more than setting a price. Pricing is one of the most powerful tools an entrepreneur, startup founder and business leader has to grow their company. For the average company a 1% price improvement will create up to 4x impact on profitability versus a 1% increase in volume.",35,Atlanta
http://generalassemb.ly/education/copywriting-for-tech/london/38393,London,Copywriting for Tech,"Wednesday, 20 September",6:15,"The right words matter. Especially when it comes to something complex such as technology. The right copy can help potential investors understand the technical details, it can convince people to download an app, and even persuade parents to finally get an iPhone.",55,Atlanta
http://generalassemb.ly/education/python-programming-101/new-york-city/38444,New York City,Python Programming 101,"Thursday, 17 August",6:30,Unlock data-driven insights with code.,90,Atlanta
http://generalassemb.ly/education/social-media-bootcamp/boston/37458,Boston,Social Media Bootcamp,"Saturday, 23 September",10,This bootcamp  introduces students to the current social media landscape and explores how it can be used for maximum results (for brands as well as agencies). Participants will leave with a detailed understanding of both the current social media landscape and how to evaluate which tools or social platforms are the best fit for their organization's strategic goals.,180,Atlanta
http://generalassemb.ly/education/python-for-data-science-intermediate/seattle/39330,Seattle,Python for Data Science (Intermediate),"Saturday, 26 August",10,"Python is an excellent programming language for data science, due to its rich set of data structures, the maturity of its data-focused libraries, and its ability to execute all aspects of the data science pipeline. This workshop will lay the foundation for data science in Python by exploring its data structures and data manipulation capabilities, as well as giving you a better understanding of the Python environment. This class is also a recommended preparatory workshop for students planning to enroll in General Assembly's Data Science course.",175,Atlanta
http://generalassemb.ly/education/adobe-photoshop-bootcamp/new-york-city/38434,New York City,Adobe Photoshop Bootcamp,"Saturday, 12 August",10,"Photoshop is the industry standard photo image editing software for print and digital output. In this hands-on introductory workshop, we will walk through Photoshop's basic capabilities and use tools and techniques to edit images and create visual design mock-ups - no design experience required!",299,Atlanta
http://generalassemb.ly/education/anti-burnout-workshop/san-francisco/37848,San Francisco,Anti Burnout Workshop,"Thursday, 21 September",6:30,"We are some of the most chronic over-workers in the world. Regardless of what industry you are in, it can be really challenging to balance your workload with the needs of your colleagues and clients.",65,Atlanta
http://generalassemb.ly/education/agile-and-scrum-bootcamp/san-francisco/39296,San Francisco,Agile and Scrum Bootcamp,"Saturday, 22 July",10,"In this Agile Immersion, you’ll learn Agile and Scrum principles, tools, practices and patterns through practical exercises, reinforced with real-world examples, and buttressed by structuring the class itself as an agile learning project. This full-day workshop is for anyone who wants to understand, leverage and incorporate Agile to make their products more profitable, their efforts more productive, and their teams more joyful.",250,Atlanta
http://generalassemb.ly/education/code-in-one-day-html-css-crash-course/los-angeles/38224,Los Angeles,Code in One Day: HTML & CSS Crash Course,"Saturday, 30 September",10,"HTML and CSS are the fundamental building blocks of the web. Whether you're a beginner who wants to get started in web development, a designer looking to hand-code their concepts, or a marketer who wants a little more control over their CMS, you'll need to know HTML and CSS to get the job done.",250,Atlanta
http://generalassemb.ly/education/better-design-with-rapid-prototyping-and-testing/london/38744,London,Better Design with Rapid Prototyping and Testing,"Thursday, 13 July",6:15,"You know what you want when it comes to designing your site, your web app, your anything, but what about your users? User experience is at the heart of building a successful product. In this class, we'll explore the full potential of rapid prototyping and how they can help in explaining and optimising your design ideas.",55,Atlanta
http://generalassemb.ly/education/introduction-to-content-strategy/san-francisco/37930,San Francisco,Introduction to Content Strategy,"Tuesday, 12 September",6:30,"Now every company is a media company. Instead of paying PR firms to beg reporters to publish your message, you can publish it yourself — as articles, books, videos, infographics, webcasts, podcasts and more. In the new world of content marketing, content strategy is the emerging discipline of aligning editorial with strategic business goals. In the class we'll explore the foundations of an effective content strategy, including editorial design, target audience definition, idea generation, and success metrics.",65,Atlanta
http://generalassemb.ly/education/introduction-to-financial-modeling-for-growth-bootcamp/san-francisco/38546,San Francisco,Introduction to Financial Modeling for Growth Bootcamp,"Saturday, 29 July",10,"As organization and companies become increasingly data driven with greater pressure to achieve financial results in condensed time frames, a fundamental understanding of financial statements and financial modeling is critical to your success whether at a larger company or entrepreneurial venture. Product, technical and marketing professionals can be empowered by understanding this language and skill to gain approval for new products, programs as well increased budgets for their key priorities. Entrepreneurs will of course need to understand this not only to raise funding but to ensure their ventures are sustainable for the long term.",85,Atlanta
http://generalassemb.ly/education/how-to-get-your-first-5000-users/london/38238,London,"How to Get Your First 5,000 Users","Monday, 18 September",6:15,"You’ve built it, but how do you make them come?",35,Atlanta
http://generalassemb.ly/education/social-media-strategy-mapping/london/37802,London,Social Media Strategy Mapping,"Monday, 4 September",6:15,"Social media initiatives don’t start when you register a Facebook or Twitter account and start posting announcements, it begins much sooner. In this workshop, you’ll be taken through a seven-step methodology called Strategic Mapping that will help guide your efforts to develop an actionable social media strategy. You’ll learn how to structure your social media efforts, deploy your resources, and ultimately launch a social media campaign that is professional and provides results you’ll be able to interpret and understand.",55,Atlanta
http://generalassemb.ly/education/introduction-to-the-business-model-canvas/san-francisco/38821,San Francisco,Introduction to the Business Model Canvas,"Tuesday, 25 July",6:30,"The Business Model Canvas is the perfect tool to quickly describe, design, and test your business model. This applies whether you are searching for a new business model or trying to reinvigorate an existing business model. This hands-on workshop will introduce participants to the Business Model Canvas.",40,Atlanta
http://generalassemb.ly/education/data-science-101/new-york-city/38418,New York City,Data Science 101,"Tuesday, 8 August",6:30,See how the predictive power of data drives modern business.,90,Atlanta
http://generalassemb.ly/education/data-visualization-and-intro-to-tableau/new-york-city/38486,New York City,Data Visualization and Intro to Tableau,"Wednesday, 19 July",6:30,Fascinated by data visualization but don't have any experience beyond charts in Excel or Powerpoint?,90,Atlanta
http://generalassemb.ly/education/excel-bootcamp/melbourne/39575,Melbourne,Excel Bootcamp,"Saturday, 12 August",10,"For most professionals, the ability to organize information is quickly becoming a fundamental part of the job description. Whether you already consider yourself an expert or are just getting started with spreadsheets, this hands-on workshop will allow you to take your skills to next level and become an Excel pro.",220,Atlanta
http://generalassemb.ly/education/sql-bootcamp/los-angeles/39359,Los Angeles,SQL Bootcamp,"Saturday, 5 August",10,SQL provides powerful but reasonably simple tools for data analysis and handling.  This bootcamp will take absolute beginners through the basics of SQL to an ability to write queries with confidence.  We will use a combination of lecture and in-class exercises to ensure that students leave with a working grasp of SQL fundamentals necessary for querying popular relational/SQL-based databases such as MySQL and PostgreSQL.,250,Atlanta
http://generalassemb.ly/education/two-day-user-experience-design-bootcamp/london/38034,London,Two-day User Experience Design Bootcamp,null,null,"As technology changes and more media outlets compete for customers’ time, providing an enjoyable experience is critical to both attracting and keeping users.  This two-day bootcamp aims to demystify UX by giving a practical and simple introduction to what UX is while also explaining some of its core concepts of usability.  This is a field that affects all areas of business — prepare to dip your toes into an ocean of new concepts and ideas that will enlighten your perspective on the  human-computer interaction experience.",350,Atlanta
http://generalassemb.ly/education/introduction-to-sql/atlanta/38430,Atlanta,Introduction to SQL,"Tuesday, 8 August",7,SQL provides powerful but reasonably simple tools for data analysis and handling. This workshop will take absolute beginners through the basics of SQL to an ability to write common types of queries with confidence. We will use a combination of lecture and in-class exercises to ensure that students leave with a working grasp of SQL fundamentals.,30,Atlanta
http://generalassemb.ly/education/social-media-strategy-mapping/new-york-city/38320,New York City,Social Media Strategy Mapping,"Wednesday, 13 September",6:30,"Social media initiatives don’t start when you register a Facebook or Twitter account and start posting announcements, it begins much sooner. In this workshop, you’ll be taken through a 6-step methodology that will help guide your efforts to develop an actionable social media strategy. You’ll learn how to structure your social media efforts, deploy your resources, and ultimately launch a social media campaign that is professional and provides results you’ll be able to interpret and understand.",90,Atlanta
http://generalassemb.ly/education/intro-to-sketch-app/boston/37448,Boston,Intro to Sketch App,"Tuesday, 22 August",6:30,"Have an idea for  an app or website, but been frustrated trying to communicate it to others?",75,Atlanta
